iter	Passed	Remaining
1622	21835	5072
1623	21858	5060
1624	21867	5046
1625	21888	5034
1626	21926	5026
1627	21946	5014
1628	21973	5004
1629	21992	4992
1630	22013	4980
1631	22034	4968
1632	22065	4959
1633	22085	4946
1634	22104	4934
1635	22122	4922
1636	22141	4909
1637	22160	4897
1638	22178	4884
1639	22187	4870
1640	22238	4865
1641	22256	4852
1642	22275	4840
1643	22295	4827
1644	22304	4813
1645	22313	4798
1646	22345	4789
1647	22365	4777
1648	22383	4764
1649	22404	4752
1650	22424	4740
1651	22445	4728
1652	22465	4715
1653	22477	4702
1654	22502	4690
1655	22511	4676
1656	22520	4661
1657	22528	4647
1658	22546	4634
1659	22565	4621
1660	22584	4609
1661	22612	4598
1662	22630	4585
1663	22654	4574
1664	22672	4561
1665	22691	4549
1666	22709	4536
1667	22738	4525
1668	22757	4513
1669	22776	4500
1670	22797	4488
